id,division_id,category_id,name,slug,short_desc,composition,sort_order,is_active,created_at,updated_at
ea0bd8f3-ecef-47fe-b94e-c646a5e211d7,88573051-9454-4d14-a106-256cdad84189,5349b753-a731-46f6-b7f8-c07fa4f2d9e5,11) COLANESE PEG,11-colanese-peg,,Polyethylene glycol 3350 USP 13.125g,3,true,2026-03-05 15:47:37.814655+00,2026-03-05 15:47:37.814655+00
eb2a2769-5fe5-4fda-9397-fe3accaa50d7,695899c3-d607-49f5-ae67-a545fac083b8,5349b753-a731-46f6-b7f8-c07fa4f2d9e5,"PURNAS 24 100 ML SYP-Multivitamin,Multimineral with L",purnas-24-100-ml-syp-multivitamin-multimineral-with-l,,Lysine,22,true,2026-03-05 14:31:18.746233+00,2026-03-05 14:42:01.157317+00
ed691214-80d4-4d2e-b03f-e9d97a09f5fb,695899c3-d607-49f5-ae67-a545fac083b8,032641d2-cb89-4897-8527-0ae60066324f,CLAVRIX DROPS,clavrix-drops,,Amoxycillin 80mg+Clavulanic Acid 11.4mg/ml,2,true,2026-03-05 14:31:18.746233+00,2026-03-05 14:42:01.157317+00
ee3067d3-32f1-4502-bf76-4f38537fc019,695899c3-d607-49f5-ae67-a545fac083b8,5349b753-a731-46f6-b7f8-c07fa4f2d9e5,Tangiron Syrup,tangiron-syrup,,Iron  & Folic Acid Syrup,27,true,2026-03-05 14:31:18.746233+00,2026-03-05 14:42:01.157317+00
f0319b9b-94b0-425a-8d0c-afb31337ec2f,aaefb005-155a-4852-83b3-1adf2166dd41,032641d2-cb89-4897-8527-0ae60066324f,Floravate GG (15ml),floravate-gg-15ml,,"Lactobacillus rhamnosus GG, NLT 1 Billion cells/0.5ml",4,true,2026-03-05 15:44:23.539503+00,2026-03-05 15:44:23.539503+00
f17af932-f475-44a8-8e26-eed66f83941a,695899c3-d607-49f5-ae67-a545fac083b8,032641d2-cb89-4897-8527-0ae60066324f,WRNZ DROPS,wrnz-drops,,Phenylephrine Hcl 5mg+CPM 2mg / ml drops,36,true,2026-03-05 14:31:18.746233+00,2026-03-05 14:42:01.157317+00
f2fe1fb1-4b23-46d6-ba97-96bd6d3a86d6,695899c3-d607-49f5-ae67-a545fac083b8,5349b753-a731-46f6-b7f8-c07fa4f2d9e5,Daily Solo Pediatric Syrup,daily-solo-pediatric-syrup,,"Multivitamins, Multiminerals,Inositiol, L-Carnitine,  Taurine,DHA, Leutin, Natural Fruit Extract, Pre & Probiotics  Syrup",8,true,2026-03-05 14:31:18.746233+00,2026-03-05 14:42:01.157317+00
f490f448-05ca-4865-b0b9-0e308fa71c26,aaefb005-155a-4852-83b3-1adf2166dd41,032641d2-cb89-4897-8527-0ae60066324f,Thedigi-Lact (15ml),thedigi-lact-15ml,,Lactase Enzyme 600 FCC units/1 ml,17,true,2026-03-05 15:44:23.539503+00,2026-03-05 15:44:23.539503+00
fa714b77-dba9-45b0-bca2-ad36152a5645,6b8dbf86-0f10-4385-8617-65335659a18e,5349b753-a731-46f6-b7f8-c07fa4f2d9e5,"PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",purnas-24-200-ml-syp-multivitamin-multimineral-with-l-2,,Lysine,12,true,2026-03-05 16:27:53.986476+00,2026-03-05 16:27:53.986476+00
fafff9cc-41b2-4275-98dc-f02d3302f244,b821c8d5-97b0-4262-9433-70e94c600449,9577f52b-ab35-4158-9bcd-109cc32f5aba,ESMOFRESH DSR,esmofresh-dsr-3,,Esomeprazole 40mg & Sustained release Domperidone 30mg Capsules,9,true,2026-03-05 15:46:11.35997+00,2026-03-05 15:46:11.35997+00
fb5569f6-2db2-4ba9-befe-a85b28eb12de,6b8dbf86-0f10-4385-8617-65335659a18e,5349b753-a731-46f6-b7f8-c07fa4f2d9e5,JOINTEE  CIS,jointee-cis,,"Cissus quadrangularis 500mg,Withania somnifera 200mg, Ergocalciferal 400IU,Phosphorus 10mg,Calcium 100mg,Vitamin B12 300mcg,Folic Acid 300mcg & Vitamin B6 0.75mg / 10 ml Syrup",10,true,2026-03-05 16:27:53.986476+00,2026-03-05 16:27:53.986476+00
fdf4a292-9242-444a-ab2d-e5f96135e41c,337b0bac-3d9b-4a9d-a32b-af29168149a5,5349b753-a731-46f6-b7f8-c07fa4f2d9e5,22) Daily Solo Syrup,22-daily-solo-syrup,,"Multivitamins, Multiminerals, Taurine, Co-enzyme Q10, Alpha Lipolic Acid, Curcumin, Probiotics",15,true,2026-03-05 15:51:50.699647+00,2026-03-05 15:51:50.699647+00
