division_slug,category_slug,product_name,product_slug,pack_label,pack_size_value,pack_size_unit,mrp,ptr,sku,sort_order,is_active
surgeon,tablets-capsules,"3) WINHANCE TAB-Benfotiamine 200 mg, Methylcobalamin 1000 nano gram , Alpha Lipoic Acid 200 mg, Folic acid 1.5 mg, Chromium Picolinate 200 mcg, D Chiro inositol 13.8mg,  Myo",3-winhance-tab-benfotiamine-200-mg-methylcobalamin-1000-nano-gram-alpha-lipoic-acid-200-mg-folic-acid-1-5-mg-chromium-picolinate-200-mcg-d-chiro-inositol-13-8mg-myo,Standard Pack,,,,,,1,True
surgeon,tablets-capsules,"4) CALVNH -Elemental Ca- 500 mg+ Vit D3-2000 IU, Methylcobalamin 1500 mcg, L Methylfolate calcium 1mg,Prridoxal 5 Phosphate",4-calvnh-elemental-ca-500-mg-vit-d3-2000-iu-methylcobalamin-1500-mcg-l-methylfolate-calcium-1mg-prridoxal-5-phosphate,Standard Pack,,,,,,1,True
surgeon,tablets-capsules,5) JIOMAX D3,5-jiomax-d3-2,Standard Pack,,,,,,1,True
surgeon,tablets-capsules,6) ESMOFRESH,6-esmofresh,Standard Pack,,,,,,1,True
surgeon,tablets-capsules,7) ESMOFRESH DSR,7-esmofresh-dsr,Standard Pack,,,,,,1,True
surgeon,tablets-capsules,"8) Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata",8-daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata,Standard Pack,,,,,,1,True
surgeon,tablets-capsules,9) Myotizer,9-myotizer,Standard Pack,,,,,,1,True
surgeon,syrups,10) COLONEZ  PEG,10-colonez-peg,Standard Pack,,,,,,1,True
surgeon,syrups,11) DE SATURATE,11-de-saturate,Standard Pack,,,,,,1,True
surgeon,syrups,"12) PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",12-purnas-24-200-ml-syp-multivitamin-multimineral-with-l,Standard Pack,,,,,,1,True
surgeon,syrups,13) Daily Solo Syrup,13-daily-solo-syrup,Standard Pack,,,,,,1,True
surgeon,nano-shots,14) D GOOD,14-d-good,Standard Pack,,,,,,1,True
general,tablets-capsules,Zanoflex,zanoflex-2,Standard Pack,,,,,,1,True
general,tablets-capsules,TUBER FORTE,tuber-forte-3,Standard Pack,,,190,136.0,,1,True
general,tablets-capsules,ESMOFRESH,esmofresh-3,Standard Pack,,,120,86.0,,1,True
general,tablets-capsules,ESMOFRESH DSR,esmofresh-dsr-3,Standard Pack,,,140,100.0,,1,True
general,tablets-capsules,"WINHANCE TAB-Benfotiamine 200 mg, Methylcobalamin 1000 nano gram , Alpha Lipoic Acid 200 mg, Folic acid 1.5 mg, Chromium Picolinate 200 mcg, D Chiro inositol 13.8mg,  Myo",winhance-tab-benfotiamine-200-mg-methylcobalamin-1000-nano-gram-alpha-lipoic-acid-200-mg-folic-acid-1-5-mg-chromium-picolinate-200-mcg-d-chiro-inositol-13-8mg-myo,Standard Pack,,,,,,1,True
general,tablets-capsules,"CALVNH -Elemental Ca- 500 mg+ Vit D3-2000 IU, Methylcobalamin 1500 mcg, L Methylfolate calcium 1mg,Prridoxal 5 Phosphate",calvnh-elemental-ca-500-mg-vit-d3-2000-iu-methylcobalamin-1500-mcg-l-methylfolate-calcium-1mg-prridoxal-5-phosphate-2,Standard Pack,,,,,,1,True
general,tablets-capsules,JIOMAX D3,jiomax-d3-2,Standard Pack,,,220,157.0,,1,True
general,tablets-capsules,"15) Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata",15-daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata,Standard Pack,,,,,,1,True
general,tablets-capsules,16) Myotizer,16-myotizer,Standard Pack,,,,,,1,True
general,syrups,COLONEZ  PEG,colonez-peg-2,Standard Pack,,,350,250.0,,1,True
general,syrups,DE SATURATE,de-saturate,Standard Pack,,,,,,1,True
general,syrups,TUSNORM,tusnorm-2,Standard Pack,,,,,,1,True
general,syrups,TUSNORM L SYP,tusnorm-l-syp-2,Standard Pack,,,,,,1,True
general,syrups,"PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",purnas-24-200-ml-syp-multivitamin-multimineral-with-l-4,Standard Pack,,,,,,1,True
general,syrups,17) Daily Solo Syrup,17-daily-solo-syrup,Standard Pack,,,,,,1,True
general,nano-shots,D GOOD,d-good-3,Standard Pack,,,90,64.0,,1,True
pediatrics,soap,Mimoza Baby Soap,mimoza-baby-soap,Standard Pack,,,,,,1,True
pediatrics,shampoo,Mimoza Shampoo,mimoza-shampoo,Standard Pack,,,,,,1,True
