product_slug,pack_label,pack_size_value,pack_size_unit,mrp,ptr,sku,sort_order,is_active
12-jiomax-d3,Standard Pack,,,220,157,12JIOMAXD3,1,True
1-zanoflex,Standard Pack,,,,,1ZANOFLEX,1,True
6-tufgaba-100,Standard Pack,,,100,72,6TUFGABA100,1,True
2-laminif-210ml,Standard Pack,210,ml,,,2LAMINIF210ML-210ML,1,True
purnas-24-200-ml-syp-multivitamin-multimineral-with-l-4,Bottle,200,ml,,,PURNAS24200MLSYPMU-200ML,1,True
9-myotizer,Standard Pack,,,,,9MYOTIZER,1,True
12-colanese-peg,Bottle,200,ml,350,,12COLANESEPEG-200ML,1,True
tuber-forte,Standard Pack,,,190,136,TUBERFORTE,1,True
floravate-s-10ml,Standard Pack,10,ml,,,FLORAVATES10ML-10ML,1,True
tufgaba-nt-100,Standard Pack,,,160,114,TUFGABANT100,1,True
daily-solo-syrup-2,Bottle,100,ml,100,,DAILYSOLOSYRUP2-100ML,1,True
vydrox,Standard Pack,,,120,86,VYDROX,1,True
9-winhance-tab-benfotiamine-200-mg-methylcobalamin-1000-nano-gram-alpha-lipoic-acid-200-mg-folic-acid-1-5-mg-chromium-picolinate-200-mcg-d-chiro-inositol-13-8mg-myo,Standard Pack,200,mg,250,179,9WINHANCETABBENFOT-200MG,1,True
purnas-24-30-ml-drops-multivitamin-multimineral-with-l,Bottle,30,ml,,,PURNAS2430MLDROPSM-30ML,1,True
ortho-d-good,Standard Pack,,,,,ORTHODGOOD,1,True
13-tuber-forte,Standard Pack,,,190,136,13TUBERFORTE,1,True
calvnh-elemental-ca-500-mg-vit-d3-2000-iu-methylcobalamin-1500-mcg-l-methylfolate-calcium-1mg-prridoxal-5-phosphate-2,Standard Pack,500,mg,,,CALVNHELEMENTALCA5-500MG,1,True
14-purnas-24-200-ml-syp-multivitamin-multimineral-with-l,Bottle,200,ml,,,14PURNAS24200MLSYP-200ML,1,True
letmon,Standard Pack,,,100,72,LETMON,1,True
florabaci-oral-sus,Standard Pack,,,55,39,FLORABACIORALSUS,1,True
purnas-24-200-ml-syp-multivitamin-multimineral-with-l-3,Bottle,200,ml,,,PURNAS24200MLSYPMU-200ML,1,True
18-colanese-peg,Bottle,200,ml,350,,18COLANESEPEG-200ML,1,True
4-calvnh-elemental-ca-500-mg-vit-d3-2000-iu-methylcobalamin-1500-mcg-l-methylfolate-calcium-1mg-prridoxal-5-phosphate,Standard Pack,500,mg,,,4CALVNHELEMENTALCA-500MG,1,True
colanese-peg-200ml,Standard Pack,200,ml,350,,COLANESEPEG200ML-200ML,1,True
2-tufgaba-nt-100,Standard Pack,,,160,114,2TUFGABANT100,1,True
finemef,Standard Pack,,,,,FINEMEF,1,True
15-daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata,Standard Pack,2,mg,,,15DAILYSOLOTABLETS-2MG,1,True
tangi-iron-gummies,Standard Pack,,,,,TANGIIRONGUMMIES,1,True
d-good-3,Standard Pack,,,90,64,DGOOD3,1,True
clavrix-forte,Standard Pack,,,198,142,CLAVRIXFORTE,1,True
11-de-saturate,Standard Pack,,,,,11DESATURATE,1,True
tufgaba-gat,Standard Pack,,,250,179,TUFGABAGAT,1,True
20-myotizer,Standard Pack,,,,,20MYOTIZER,1,True
7-migrace,Standard Pack,,,280,200,7MIGRACE,1,True
wrnz-syp,Standard Pack,,,100,72,WRNZSYP,1,True
tangiron-drops,Standard Pack,,,250,167.5,TANGIRONDROPS,1,True
daily-solo-advanced-pediatric-drops,Standard Pack,,,,,DAILYSOLOADVANCEDP,1,True
ondrix,Standard Pack,,,42,30,ONDRIX,1,True
relasmo-ds,Standard Pack,,,150,107,RELASMODS,1,True
tangi-iron-drops-15ml,Standard Pack,15,ml,150,,TANGIIRONDROPS15ML-15ML,1,True
nano-shots-22-d-good,Standard Pack,,,,,NANOSHOTS22DGOOD,1,True
thedigi-15ml,Standard Pack,15,ml,140,,THEDIGI15ML-15ML,1,True
esmofresh-3,Standard Pack,,,120,86,ESMOFRESH3,1,True
znpd,Standard Pack,,,,,ZNPD,1,True
wrnz-s-nasal-drops,Standard Pack,,,90,64,WRNZSNASALDROPS,1,True
tangical-syrup-200ml,Standard Pack,200,ml,230,,TANGICALSYRUP200ML-200ML,1,True
5-tufgaba-gat,Standard Pack,,,250,179,5TUFGABAGAT,1,True
11-calvnh-tab-elemental-ca-500-mg-vit-d3-2000-iu-methylcobalamin-1500-mcg-l-methylfolate-calcium-1mg-prridoxal-5-phosphate,Standard Pack,500,mg,300,215,11CALVNHTABELEMENT-500MG,1,True
17-daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata,Standard Pack,2,mg,,,17DAILYSOLOTABLETS-2MG,1,True
losmo-flush-b-200ml,Standard Pack,200,ml,,,LOSMOFLUSHB200ML-200ML,1,True
finemef-p,Standard Pack,,,,,FINEMEFP,1,True
4-tufgaba-nt-400,Standard Pack,,,330,236,4TUFGABANT400,1,True
znpd-20-drops,Standard Pack,,,110,79,ZNPD20DROPS,1,True
d-good-2,Standard Pack,,,90,64,DGOOD2,1,True
daily-solo-syrup,Bottle,100,ml,100,,DAILYSOLOSYRUP-100ML,1,True
deflanorm,Standard Pack,,,90,64,DEFLANORM,1,True
cefdrix,Standard Pack,,,,,CEFDRIX,1,True
mimoza-baby-soap,Standard Pack,,,,,MIMOZABABYSOAP,1,True
esmofresh-2,Standard Pack,,,120,86,ESMOFRESH2,1,True
vydrox-drops,Standard Pack,,,70,50,VYDROXDROPS,1,True
17-daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata-2,Standard Pack,2,mg,,,17DAILYSOLOTABLETS-2MG,1,True
3-gf-18-tablets,Strip,18,tablets,,,3GF18TABLETS-18TABLETS,1,True
tufgaba-nt-400,Standard Pack,,,330,236,TUFGABANT400,1,True
colonez-peg-2,Standard Pack,,,350,250,COLONEZPEG2,1,True
wrnz-kid-nasal-drops,Standard Pack,,,90,64,WRNZKIDNASALDROPS,1,True
tusnorm-l-syp,Standard Pack,,,100,72,TUSNORMLSYP,1,True
13-daily-solo-syrup,Bottle,100,ml,100,,13DAILYSOLOSYRUP-100ML,1,True
para-ds,Standard Pack,,,38.3,27,PARADS,1,True
19-colanese-peg,Bottle,200,ml,350,,19COLANESEPEG-200ML,1,True
de-saturate,Standard Pack,,,,,DESATURATE,1,True
thedigi-soft-10ml,Standard Pack,10,ml,325,,THEDIGISOFT10ML-10ML,1,True
daily-solo-drops-30ml,Standard Pack,30,ml,220,,DAILYSOLODROPS30ML-30ML,1,True
oflarix-100,Standard Pack,,,120,86,OFLARIX100,1,True
3-tufgaba-nt-200,Standard Pack,,,170,122,3TUFGABANT200,1,True
jiomax-d3-2,Standard Pack,,,220,157,JIOMAXD32,1,True
de-saturate-450-ml,Bottle,450,ml,,,DESATURATE450ML-450ML,1,True
tuber-forte-2,Standard Pack,,,190,136,TUBERFORTE2,1,True
9-esmofresh-dsr,Standard Pack,,,140,100,9ESMOFRESHDSR,1,True
5-jiomax-d3,Standard Pack,,,220,157,5JIOMAXD3,1,True
colonez-peg,Standard Pack,,,350,250,COLONEZPEG,1,True
