sl_no,division_slug,category_slug,brand,product_slug,composition,pack_label,mrp,ptr
1,general,nano-shots,D GOOD,d-good-3,Vitamin D3 oral solution 60000  IU/5 ml,Standard Pack,90.0,64.0
2,general,syrups,17) Daily Solo Syrup,17-daily-solo-syrup,"Multivitamins, Multiminerals, Taurine, Co-enzyme Q10, Alpha Lipolic Acid, Curcumin, Probiotics",Standard Pack,,
3,general,syrups,COLONEZ  PEG,colonez-peg-2,Polyethylene Glycol 3350 USP 13.125g,Standard Pack,350.0,250.0
4,general,syrups,DE SATURATE,de-saturate,"Potassium Citrate 1100mg ,Magnesium Citrate 375 mg & Vitamin B6 20 mg / 5ml Oral Solution",Standard Pack,,
5,general,syrups,"PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",purnas-24-200-ml-syp-multivitamin-multimineral-with-l-4,Lysine,Standard Pack,,
6,general,syrups,TUSNORM,tusnorm-2,"XT -Acebrophylline 50mg, Guaiphenesin 50mg, Terbutaline 12.5mg/5ml syrup",Standard Pack,,
7,general,syrups,TUSNORM L SYP,tusnorm-l-syp-2,Levosalbutamol  1mg + Ambroxol 30mg+ Guaiphensin 50mg/5ml syrup,Standard Pack,,
8,general,tablets-capsules,"15) Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata",15-daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata,"25mg, Lycopene 2500 mcg , Multiminerals, Multivitamins",Standard Pack,,
9,general,tablets-capsules,16) Myotizer,16-myotizer,"L carnitine, L  Tartarate, Vit E, Benfotiamine, Vit C, Co Q 10, Pyridoxine, Riboflavin",Standard Pack,,
10,general,tablets-capsules,"CALVNH -Elemental Ca- 500 mg+ Vit D3-2000 IU, Methylcobalamin 1500 mcg, L Methylfolate calcium 1mg,Prridoxal 5 Phosphate",calvnh-elemental-ca-500-mg-vit-d3-2000-iu-methylcobalamin-1500-mcg-l-methylfolate-calcium-1mg-prridoxal-5-phosphate-2,20mg Tablets,Standard Pack,,
11,general,tablets-capsules,ESMOFRESH,esmofresh-3,Esomeprazole Gastro-Resistant Tablets IP 40 mg,Standard Pack,120.0,86.0
12,general,tablets-capsules,ESMOFRESH DSR,esmofresh-dsr-3,Esomeprazole 40mg & Sustained release Domperidone 30mg Capsules,Standard Pack,140.0,100.0
13,general,tablets-capsules,JIOMAX D3,jiomax-d3-2,"Calcitriol 0.25mcg,Methylcobalamin 1500mcg,Calcium Carbonate 500mg, Eicosapentaenoic Acid 180mg,Docosahexaenoic Acid 120mg,Folic Acid  400mcg  with Boron1.5mg Capsules",Standard Pack,220.0,157.0
14,general,tablets-capsules,TUBER FORTE,tuber-forte-3,"Aceclofenac 100mg ,Paracetamol 325mg & Trypsin & Chymotrypsin (6;1)-1,50,000 IU Tablets",Standard Pack,190.0,136.0
15,general,tablets-capsules,"WINHANCE TAB-Benfotiamine 200 mg, Methylcobalamin 1000 nano gram , Alpha Lipoic Acid 200 mg, Folic acid 1.5 mg, Chromium Picolinate 200 mcg, D Chiro inositol 13.8mg,  Myo",winhance-tab-benfotiamine-200-mg-methylcobalamin-1000-nano-gram-alpha-lipoic-acid-200-mg-folic-acid-1-5-mg-chromium-picolinate-200-mcg-d-chiro-inositol-13-8mg-myo,"Inositol 100 mg & Pyridoxine Hydrochloride 3 mg Tablets, Vitamin D3 600 IU",Standard Pack,250.0,179.0
16,general,tablets-capsules,Zanoflex,zanoflex-2,Ofloxacin 400mg Tablets,Standard Pack,,
17,gynac,nano-shots,16) D GOOD,16-d-good,Vitamin D3 oral solution 60000  IU/5 ml,Standard Pack,90.0,64.0
18,gynac,syrups,11) COLANESE PEG,11-colanese-peg,Polyethylene glycol 3350 USP 13.125g,Standard Pack,,
19,gynac,syrups,12) COLANESE PEG,12-colanese-peg,Polyethylene Glycol 4000 IP 10g,Standard Pack,,
20,gynac,syrups,13) DE SATURATE,13-de-saturate,"Potassium Citrate 1100mg ,Magnesium Citrate 375 mg & Vitamin B6 20 mg / 5ml Oral Solution",Standard Pack,,
21,gynac,syrups,"14) PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",14-purnas-24-200-ml-syp-multivitamin-multimineral-with-l,Lysine,Standard Pack,,
22,gynac,syrups,15) Daily Solo Syrup,15-daily-solo-syrup,"Multivitamins, Multiminerals, Taurine, Co-enzyme Q10, Alpha Lipolic Acid, Curcumin, Probiotics",Standard Pack,,
23,gynac,tablets-capsules,1) LAMINIF 100ML,1-laminif-100ml,"L Arginine 3g, Vitamin C  40mg, Vitamin E 10mg, Vit B6 2mg, Folic Acid 120mcg, Vitamin B12 1mcg, Zinc 10 mg per 15 ml",Standard Pack,,
24,gynac,tablets-capsules,"10) Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata",10-daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata,"25mg, Lycopene 2500 mcg , Multiminerals, Multivitamins",Standard Pack,,
25,gynac,tablets-capsules,2) LAMINIF 210ML,2-laminif-210ml,"L Arginine 3g, Vitamin C  40mg, Vitamin E 10mg, Vit B6 2mg, Folic Acid 120mcg, Vitamin B12 1mcg, Zinc 10 mg per 15 ml",Standard Pack,,
26,gynac,tablets-capsules,3) GF -18 Tablets,3-gf-18-tablets,"Myo-Inositol (40:1) 1100mg , D-Chiro Inositol (40:1) 27.6 mg, Ubiquinone (Coenzyme Q10) 100 mg,Astaxanthin 1mg,L-Carnitine L-Tartrate 50mg,L-Arginine 10mg,  Melatonin 2mg, Berberine 50mg Lecithin 2mg,Quatrefolic Acid 51 mcg tablets",Standard Pack,,
27,gynac,tablets-capsules,"4) CALVNH TAB-Elemental Ca- 500 mg, Vit D3-2000 IU, Methylcobalamin 1500 mcg, L Methylfolate calcium 1mg,Prridoxal 5 Phosphate",4-calvnh-tab-elemental-ca-500-mg-vit-d3-2000-iu-methylcobalamin-1500-mcg-l-methylfolate-calcium-1mg-prridoxal-5-phosphate,20mg,Standard Pack,300.0,215.0
28,gynac,tablets-capsules,5) JIOMAX D3,5-jiomax-d3,"Calcitriol 0.25mcg,Methylcobalamin 1500mcg,Calcium Carbonate 500mg, Eicosapentaenoic Acid 180mg,Docosahexaenoic Acid 120mg,Folic Acid  400mcg  with Boron1.5mg capsules",Standard Pack,220.0,157.0
29,gynac,tablets-capsules,6) MIGRACE,6-migrace,"Magnesium oxide,Coenzyme Q10 & Riboflavin  Tablets",Standard Pack,280.0,200.0
30,gynac,tablets-capsules,7) TUBER FORTE,7-tuber-forte,"Aceclofenac 100mg ,Paracetamol 325mg & Trypsin & Chymotrypsin (6;1)-1,50,000 IU Tablets",Standard Pack,190.0,136.0
31,gynac,tablets-capsules,8) ESMOFRESH,8-esmofresh,Esomeprazole gastro-resistant tablets IP 40 mg,Standard Pack,120.0,86.0
32,gynac,tablets-capsules,9) ESMOFRESH DSR,9-esmofresh-dsr,Esomeprazole 40mg & Sustained release Domperidone 30mg capsules,Standard Pack,140.0,100.0
33,neuroshine,syrups,18) COLANESE PEG,18-colanese-peg,Polyethylene glycol 3350 USP 13.125g,Standard Pack,,
34,neuroshine,syrups,19) COLANESE PEG,19-colanese-peg,Polyethylene Glycol 4000 IP 10g,Standard Pack,,
35,neuroshine,syrups,"21) PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",21-purnas-24-200-ml-syp-multivitamin-multimineral-with-l,Lysine,Standard Pack,,
36,neuroshine,syrups,22) Daily Solo Syrup,22-daily-solo-syrup,"Multivitamins, Multiminerals, Taurine, Co-enzyme Q10, Alpha Lipolic Acid, Curcumin, Probiotics",Standard Pack,,
37,neuroshine,syrups,Nano Shots - 22 )  D GOOD,nano-shots-22-d-good,Vitamin D3 oral solution 60000  IU/5 ml,Standard Pack,,
38,neuroshine,tablets-capsules,1) TUFGABA GAT,1-tufgaba-gat,Gabapentin & Amitriptyline tablets,Standard Pack,250.0,179.0
39,neuroshine,tablets-capsules,10) Myotizer,10-myotizer,"L carnitine, L  Tartarate, Vit E, Benfotiamine, Vit C, Co Q 10, Pyridoxine, Riboflavin",Standard Pack,,
40,neuroshine,tablets-capsules,"11) CALVNH TAB-Elemental Ca- 500 mg+ Vit D3-2000 IU, Methylcobalamin 1500 mcg, L Methylfolate calcium 1mg,Prridoxal 5 Phosphate",11-calvnh-tab-elemental-ca-500-mg-vit-d3-2000-iu-methylcobalamin-1500-mcg-l-methylfolate-calcium-1mg-prridoxal-5-phosphate,20mg,Standard Pack,300.0,215.0
